feature,importance
src_bytes,0.12909462210339454
dst_bytes,0.10288375566360272
flag_SF,0.06412558693237168
same_srv_rate,0.058251404000641833
logged_in,0.0522313631899458
dst_host_same_srv_rate,0.05046962753108914
dst_host_srv_count,0.04678484250881615
diff_srv_rate,0.04279971845872417
count,0.039914306613604685
dst_host_diff_srv_rate,0.0341738477220517
dst_host_same_src_port_rate,0.031973265089469925
dst_host_serror_rate,0.02751758472257733
dst_host_srv_serror_rate,0.025999632771934976
serror_rate,0.0251091858185404
protocol_type_icmp,0.022190450560299328
service_http,0.01989445768151587
dst_host_srv_diff_host_rate,0.019810777002698343
dst_host_count,0.018597302633347624
service_private,0.017335181620159876
flag_S0,0.015458316875505801
srv_count,0.01443454736668488
dst_host_rerror_rate,0.01261253932757592
srv_serror_rate,0.012125585065321342
dst_host_srv_rerror_rate,0.011937161741969217
hot,0.010085224248398654
protocol_type_tcp,0.009896599470063256
service_ecr_i,0.009843701703670549
rerror_rate,0.007961373951580416
srv_rerror_rate,0.0071626633673499635
protocol_type_udp,0.0069461638302166
